ID,Üniversite,Bölüm,En Küçük Puan
325,SABANCI UNIVERSITESI,Sanat ve Sosyal Bilimler Programlari,478.0
326,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Mimarlik,477.90495
327,BAHCESEHIR UNIVERSITESI,Eczacilik,477.90109
328,OSTIM TEKNIK UNIVERSITESI,Yapay Zeka Muhendisligi,477.68805
329,ANTALYA BILIM UNIVERSITESI,Dis Hekimligi,477.46935
330,ISTANBUL KULTUR UNIVERSITESI,Bilgisayar Muhendisligi,477.34819
331,YEDITEPE UNIVERSITESI,Ingilizce Ogretmenligi,477.16847
332,ISTANBUL GELISIM UNIVERSITESI,Ucak Muhendisligi,477.13634
333,ISTANBUL OKAN UNIVERSITESI,Bilgisayar Muhendisligi,477.02604
334,GAZI UNIVERSITESI,Makine Muhendisligi,477.02327
335,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Iktisat,477.0
336,HACETTEPE UNIVERSITESI,Ingilizce Ogretmenligi,476.93341
337,ISTANBUL MEDIPOL UNIVERSITESI,Eczacilik,476.40848
338,ISTANBUL BEYKENT UNIVERSITESI,Dis Hekimligi,476.40458
339,BAHCESEHIR UNIVERSITESI,Insaat Muhendisligi,476.34747
340,HACETTEPE UNIVERSITESI,Eczacilik,476.23845
341,YEDITEPE UNIVERSITESI,Kimya Muhendisligi,476.14107
342,ISTANBUL TEKNIK UNIVERSITESI,Insaat Muhendisligi,476.08534
343,BASKENT UNIVERSITESI,Endustri Muhendisligi,476.08368
344,ISTANBUL BILGI UNIVERSITESI,Dijital Oyun Tasarimi,476.02017
345,ATILIM UNIVERSITESI,Havacilik ve Uzay Muhendisligi,475.88803
346,ISTANBUL ATLAS UNIVERSITESI,Dis Hekimligi,475.78535
347,NUH NACI YAZGAN UNIVERSITESI,Dis Hekimligi,475.76244
348,YEDITEPE UNIVERSITESI,Isletme,475.57374
349,DOKUZ EYLUL UNIVERSITESI,Elektrik-Elektronik Muhendisligi,475.51578
350,YEDITEPE UNIVERSITESI,Tarih,475.4266
351,ALTINBAS UNIVERSITESI,Dis Hekimligi,475.16105
352,ISTANBUL KENT UNIVERSITESI,Dis Hekimligi,474.94309
353,ISTANBUL YENI YUZYIL UNIVERSITESI,Dis Hekimligi,474.85294
354,ANTALYA BILIM UNIVERSITESI,Bilgisayar Muhendisligi,474.7941
355,IZMIR KATIP CELEBI UNIVERSITESI,Molekuler Biyoloji ve Genetik,474.75103
